date,price(SGD)
2024-06-18,67016
2024-06-21,67081
2024-06-22,66316
2024-06-28,66357
2024-07-02,65996
2024-07-05,67267
2024-07-09,67654
2024-07-11,66372
2024-07-15,66694
2024-07-18,65004
2024-07-22,65666
2024-07-28,65952
2024-08-01,67030
2024-08-04,67151
2024-08-06,66502
2024-08-09,67272
2024-08-15,66955
2024-08-17,67358
2024-08-22,67813
2024-08-25,66858
2024-08-28,66971
2024-09-01,66391
2024-09-07,66022
2024-09-11,65483
2024-09-13,66302
2024-09-15,65837
2024-09-19,65865
2024-09-25,65458
2024-09-28,64977
2024-10-02,63365
2024-10-06,63470
2024-10-10,63091
2024-10-13,64252
2024-10-17,64033
2024-10-21,64157
2024-10-22,63351
2024-10-26,65041
2024-10-30,65382
2024-11-04,65560
2024-11-09,65562
2024-11-12,64860
2024-11-15,65114
2024-11-18,65860
2024-11-21,64775
2024-11-27,66395
2024-11-29,64836
2024-12-04,64208
2024-12-09,64678
2024-12-11,65631
2024-12-15,64981
2024-12-17,66740
2024-12-23,66607
2024-12-25,66943
2024-12-31,66642
2025-01-02,68157
2025-01-06,66178
2025-01-09,65956
2025-01-15,65982
2025-01-16,66449
2025-01-19,65988
2025-01-24,66568
2025-01-28,65461
2025-01-30,66131
2025-02-04,64849
2025-02-08,63732
2025-02-13,65419
2025-02-16,65514
2025-02-19,64802
2025-02-24,64175
2025-02-27,64793
2025-03-02,65367
2025-03-07,65293
2025-03-09,64998
2025-03-13,65739
2025-03-17,65267
2025-03-22,65273
2025-03-24,65857
2025-03-27,65268
2025-03-31,66795
2025-04-05,66340
2025-04-09,66635
2025-04-11,66169
2025-04-16,65824
2025-04-18,66246
2025-04-22,66837
2025-04-27,65372
2025-05-02,65094
2025-05-05,64699
2025-05-07,64000
2025-05-12,63507
2025-05-15,63984
2025-05-20,63518
2025-05-23,63622
2025-05-28,63245
2025-05-29,64109
2025-06-03,63597
2025-06-05,64182
2025-06-10,63736
2025-06-16,64222
2025-06-17,64840
