date,price(SGD)
2024-06-18,28481
2024-06-19,28510
2024-06-23,28508
2024-06-27,28101
2024-07-02,28767
2024-07-04,29010
2024-07-08,28999
2024-07-11,29542
2024-07-16,28828
2024-07-21,28697
2024-07-23,28597
2024-07-27,28038
2024-07-31,28117
2024-08-05,27531
2024-08-08,27462
2024-08-10,27596
2024-08-13,27188
2024-08-19,27164
2024-08-21,26983
2024-08-26,26972
2024-08-28,26797
2024-09-03,26680
2024-09-04,26531
2024-09-08,26672
2024-09-12,26731
2024-09-16,26484
2024-09-19,26685
2024-09-24,26761
2024-09-27,26747
2024-10-03,26693
2024-10-07,26579
2024-10-10,26738
2024-10-11,26627
2024-10-18,26770
2024-10-19,26782
2024-10-24,26273
2024-10-28,26571
2024-11-02,26716
2024-11-04,27180
2024-11-09,27248
2024-11-12,27400
2024-11-15,27344
2024-11-20,27587
2024-11-24,27969
2024-11-25,28323
2024-12-01,28344
2024-12-05,28220
2024-12-07,27722
2024-12-12,27559
2024-12-14,27816
2024-12-20,27966
2024-12-23,27648
2024-12-27,27571
2024-12-29,27773
2025-01-04,27780
2025-01-05,27559
2025-01-11,27784
2025-01-15,27587
2025-01-16,27871
2025-01-19,27423
2025-01-23,27900
2025-01-28,27859
2025-01-30,27936
2025-02-06,27884
2025-02-07,28298
2025-02-11,27934
2025-02-17,27681
2025-02-20,27758
2025-02-22,27600
2025-02-25,27612
2025-03-01,28307
2025-03-05,27785
2025-03-10,27182
2025-03-14,27642
2025-03-17,27435
2025-03-22,27541
2025-03-25,27530
2025-03-27,27327
2025-04-02,27216
2025-04-06,27254
2025-04-08,27101
2025-04-12,27113
2025-04-16,26825
2025-04-21,26685
2025-04-25,26380
2025-04-28,26431
2025-04-29,26300
2025-05-03,26314
2025-05-08,25841
2025-05-13,26046
2025-05-17,25734
2025-05-21,25625
2025-05-24,25622
2025-05-26,25272
2025-06-01,25016
2025-06-04,25130
2025-06-05,25413
2025-06-10,25653
2025-06-16,25265
2025-06-17,25394
