date,price(SGD)
2024-06-18,35829
2024-06-19,35488
2024-06-24,35599
2024-06-27,35120
2024-07-01,35188
2024-07-04,35444
2024-07-09,35573
2024-07-13,35854
2024-07-16,35659
2024-07-18,35858
2024-07-22,35559
2024-07-28,35430
2024-07-29,35418
2024-08-02,36098
2024-08-06,35559
2024-08-09,35124
2024-08-13,35170
2024-08-19,34851
2024-08-22,34902
2024-08-27,34479
2024-08-29,34591
2024-09-03,34592
2024-09-07,33948
2024-09-09,34021
2024-09-13,33807
2024-09-16,33930
2024-09-21,33868
2024-09-25,33394
2024-09-27,33492
2024-10-01,33363
2024-10-05,32917
2024-10-08,32694
2024-10-13,32866
2024-10-15,32384
2024-10-19,32193
2024-10-22,32359
2024-10-27,32462
2024-11-02,33047
2024-11-04,31313
2024-11-06,32380
2024-11-12,32500
2024-11-14,32683
2024-11-18,32748
2024-11-21,33657
2024-11-26,33472
2024-11-29,33545
2024-12-04,33266
2024-12-06,33626
2024-12-12,32764
2024-12-13,33366
2024-12-18,33690
2024-12-23,33296
2024-12-27,33390
2024-12-30,33662
2025-01-01,33526
2025-01-06,33631
2025-01-08,33454
2025-01-12,33635
2025-01-16,33537
2025-01-22,33546
2025-01-23,33704
2025-01-28,33839
2025-01-30,33406
2025-02-06,33661
2025-02-09,33539
2025-02-13,33608
2025-02-16,33898
2025-02-18,33657
2025-02-22,33643
2025-02-28,33160
2025-03-01,33467
2025-03-07,33207
2025-03-09,32541
2025-03-13,32354
2025-03-19,32282
2025-03-20,32015
2025-03-23,32339
2025-03-30,32327
2025-04-01,32044
2025-04-03,31807
2025-04-10,31859
2025-04-14,32341
2025-04-17,32131
2025-04-21,32108
2025-04-22,32177
2025-04-26,32029
2025-05-02,31928
2025-05-04,31865
2025-05-07,31075
2025-05-13,30073
2025-05-14,29876
2025-05-19,29940
2025-05-22,29776
2025-05-26,29881
2025-05-31,29718
2025-06-03,29698
2025-06-05,29403
2025-06-09,29359
2025-06-16,29014
2025-06-17,29612
