date,price(SGD)
2024-06-18,57265
2024-06-20,57127
2024-06-24,57807
2024-06-27,57802
2024-07-02,57019
2024-07-06,58193
2024-07-10,58237
2024-07-13,57403
2024-07-16,56778
2024-07-19,57143
2024-07-22,56389
2024-07-26,56774
2024-07-29,57097
2024-08-02,55947
2024-08-07,56052
2024-08-12,55464
2024-08-16,56387
2024-08-19,56425
2024-08-22,55958
2024-08-24,56636
2024-08-30,56170
2024-09-03,56070
2024-09-04,56501
2024-09-11,56110
2024-09-13,55469
2024-09-18,55738
2024-09-22,55157
2024-09-26,56137
2024-09-29,55770
2024-10-01,55898
2024-10-06,55523
2024-10-09,55039
2024-10-14,55108
2024-10-18,55518
2024-10-19,54683
2024-10-25,55889
2024-10-28,55565
2024-10-30,54601
2024-11-03,53991
2024-11-06,54080
2024-11-10,53803
2024-11-14,53948
2024-11-20,53883
2024-11-22,53570
2024-11-26,53820
2024-11-29,53441
2024-12-05,53715
2024-12-06,54907
2024-12-11,55526
2024-12-13,54575
2024-12-19,55348
2024-12-22,54989
2024-12-24,55274
2024-12-30,54849
2025-01-02,55249
2025-01-07,55427
2025-01-08,55652
2025-01-14,55609
2025-01-17,56394
2025-01-20,56443
2025-01-26,55555
2025-01-28,55528
2025-01-31,55219
2025-02-06,55094
2025-02-08,55384
2025-02-12,54650
2025-02-14,55103
2025-02-20,54652
2025-02-24,54976
2025-02-26,54282
2025-03-02,53740
2025-03-06,54225
2025-03-09,53851
2025-03-12,54119
2025-03-19,54429
2025-03-22,54209
2025-03-23,54016
2025-03-28,54819
2025-03-31,54795
2025-04-03,54462
2025-04-08,54195
2025-04-11,54350
2025-04-15,54977
2025-04-18,54584
2025-04-22,54840
2025-04-26,54406
2025-05-01,54418
2025-05-05,54230
2025-05-07,53295
2025-05-13,52856
2025-05-16,53213
2025-05-19,53433
2025-05-22,53246
2025-05-27,53149
2025-05-31,52143
2025-06-04,51811
2025-06-05,51740
2025-06-10,52243
2025-06-13,53521
2025-06-17,53985
