date,price(SGD)
2024-06-18,50216
2024-06-19,51687
2024-06-25,52823
2024-06-26,52489
2024-07-02,52179
2024-07-04,52227
2024-07-08,50838
2024-07-11,50334
2024-07-15,50307
2024-07-21,50637
2024-07-25,48803
2024-07-26,50231
2024-07-31,48671
2024-08-02,47327
2024-08-06,47182
2024-08-09,47606
2024-08-13,47214
2024-08-18,48279
2024-08-21,48672
2024-08-27,48280
2024-08-28,48236
2024-09-02,46552
2024-09-07,46803
2024-09-08,48066
2024-09-14,48026
2024-09-18,47535
2024-09-19,47949
2024-09-23,48011
2024-09-29,48535
2024-10-03,48439
2024-10-04,48121
2024-10-08,47978
2024-10-13,47555
2024-10-16,48461
2024-10-21,48436
2024-10-23,48556
2024-10-28,47428
2024-11-01,47412
2024-11-04,46957
2024-11-09,46798
2024-11-12,47456
2024-11-15,47517
2024-11-20,46220
2024-11-21,47058
2024-11-25,46364
2024-11-28,46159
2024-12-03,47699
2024-12-06,47861
2024-12-11,47936
2024-12-13,47649
2024-12-18,47957
2024-12-23,48768
2024-12-27,48028
2024-12-30,49010
2025-01-01,48866
2025-01-05,49286
2025-01-10,49671
2025-01-12,49273
2025-01-17,50311
2025-01-20,49544
2025-01-23,50442
2025-01-29,50527
2025-01-30,50156
2025-02-03,50470
2025-02-10,50373
2025-02-11,50623
2025-02-14,50088
2025-02-20,49544
2025-02-24,49430
2025-02-26,49693
2025-03-03,49813
2025-03-05,49244
2025-03-09,49319
2025-03-13,49782
2025-03-18,49554
2025-03-20,49851
2025-03-26,49695
2025-03-29,49342
2025-04-01,49777
2025-04-05,49323
2025-04-07,49865
2025-04-14,49590
2025-04-15,49691
2025-04-18,49202
2025-04-24,49167
2025-04-28,48836
2025-04-30,48109
2025-05-05,47150
2025-05-09,46861
2025-05-12,46214
2025-05-14,46472
2025-05-20,46339
2025-05-22,46480
2025-05-25,47190
2025-06-01,47193
2025-06-02,47615
2025-06-06,47190
2025-06-10,47565
2025-06-15,47298
2025-06-17,47540
