date,price(SGD)
2024-06-18,95084
2024-06-21,93103
2024-06-23,93123
2024-06-27,94710
2024-06-30,93948
2024-07-06,93975
2024-07-10,93620
2024-07-11,93201
2024-07-17,93227
2024-07-20,94639
2024-07-25,94133
2024-07-26,92020
2024-08-01,91720
2024-08-02,93608
2024-08-06,92501
2024-08-12,92519
2024-08-13,93065
2024-08-17,92544
2024-08-23,92041
2024-08-26,92104
2024-08-31,91609
2024-09-02,90500
2024-09-07,91065
2024-09-09,89802
2024-09-12,90215
2024-09-16,90384
2024-09-19,90209
2024-09-25,89973
2024-09-27,90253
2024-10-03,89911
2024-10-07,90135
2024-10-09,88671
2024-10-13,88697
2024-10-18,88856
2024-10-20,90027
2024-10-23,90206
2024-10-28,90015
2024-11-01,91282
2024-11-05,91331
2024-11-09,91484
2024-11-13,91241
2024-11-15,94783
2024-11-20,95128
2024-11-23,96169
2024-11-27,96414
2024-12-01,96273
2024-12-04,97110
2024-12-09,97309
2024-12-11,97378
2024-12-13,96914
2024-12-17,97905
2024-12-23,96682
2024-12-25,98354
2024-12-29,99484
2025-01-02,99359
2025-01-06,100068
2025-01-11,100502
2025-01-14,98979
2025-01-17,99509
2025-01-20,99566
2025-01-23,98443
2025-01-27,98032
2025-02-02,97895
2025-02-05,97975
2025-02-09,97847
2025-02-13,97676
2025-02-14,97158
2025-02-20,95689
2025-02-23,95566
2025-02-27,97198
2025-03-03,97164
2025-03-07,96350
2025-03-10,94175
2025-03-15,93840
2025-03-17,94729
2025-03-22,94862
2025-03-23,94380
2025-03-28,94795
2025-04-02,94547
2025-04-06,97193
2025-04-10,97562
2025-04-13,96441
2025-04-15,97211
2025-04-21,96817
2025-04-24,96410
2025-04-28,96703
2025-04-30,98220
2025-05-05,97400
2025-05-09,96306
2025-05-13,97972
2025-05-14,97822
2025-05-21,97387
2025-05-24,97474
2025-05-26,96195
2025-05-31,96881
2025-06-02,96103
2025-06-05,96076
2025-06-09,95116
2025-06-14,94924
2025-06-17,93899
