date,price(SGD)
2024-06-18,47437
2024-06-21,47455
2024-06-25,47458
2024-06-29,47492
2024-07-02,47041
2024-07-04,47053
2024-07-10,47019
2024-07-13,46898
2024-07-14,46520
2024-07-21,46364
2024-07-23,45962
2024-07-26,46308
2024-07-31,46402
2024-08-02,46371
2024-08-08,46204
2024-08-09,46292
2024-08-13,45953
2024-08-17,46314
2024-08-23,46105
2024-08-26,45811
2024-08-29,45863
2024-09-02,45407
2024-09-07,44662
2024-09-10,44598
2024-09-14,44371
2024-09-17,44376
2024-09-22,44280
2024-09-26,43634
2024-09-27,43728
2024-09-30,43710
2024-10-06,43621
2024-10-09,43399
2024-10-14,43566
2024-10-16,43068
2024-10-21,43039
2024-10-23,42413
2024-10-27,42653
2024-10-31,42588
2024-11-05,42696
2024-11-09,43227
2024-11-11,43320
2024-11-14,43217
2024-11-20,43341
2024-11-21,43640
2024-11-26,43797
2024-12-01,43858
2024-12-03,44025
2024-12-09,44267
2024-12-11,44339
2024-12-13,43852
2024-12-18,43799
2024-12-21,43482
2024-12-24,43695
2024-12-30,43792
2025-01-04,44179
2025-01-06,44237
2025-01-10,43783
2025-01-12,44431
2025-01-16,44437
2025-01-22,44435
2025-01-23,44531
2025-01-29,44431
2025-01-31,44001
2025-02-05,43951
2025-02-07,43994
2025-02-11,43838
2025-02-14,43911
2025-02-19,43350
2025-02-22,44023
2025-02-26,44232
2025-03-01,43738
2025-03-05,43548
2025-03-11,43422
2025-03-13,42418
2025-03-16,42913
2025-03-22,43138
2025-03-25,43140
2025-03-27,42347
2025-04-02,43197
2025-04-06,42130
2025-04-10,42005
2025-04-13,41318
2025-04-17,41342
2025-04-18,41242
2025-04-22,41146
2025-04-26,40605
2025-04-30,40523
2025-05-06,40112
2025-05-08,39766
2025-05-13,39620
2025-05-16,39791
2025-05-21,39778
2025-05-24,39668
2025-05-27,39762
2025-06-01,39640
2025-06-03,39627
2025-06-05,39978
2025-06-09,39941
2025-06-15,39651
2025-06-17,40018
