date,price(SGD)
2024-06-18,122118
2024-06-20,123461
2024-06-23,123177
2024-06-27,120626
2024-06-30,120675
2024-07-03,119100
2024-07-07,118888
2024-07-11,116086
2024-07-17,115153
2024-07-18,115773
2024-07-23,116325
2024-07-26,114926
2024-07-30,114665
2024-08-05,113502
2024-08-07,114828
2024-08-12,114971
2024-08-16,114424
2024-08-18,111788
2024-08-22,110981
2024-08-26,109677
2024-08-31,110567
2024-09-01,113011
2024-09-04,111501
2024-09-10,112065
2024-09-12,111505
2024-09-15,110862
2024-09-19,112124
2024-09-25,111344
2024-09-27,113612
2024-09-30,113081
2024-10-06,115405
2024-10-08,113842
2024-10-13,113859
2024-10-15,113438
2024-10-19,114586
2024-10-25,114094
2024-10-29,113008
2024-11-01,113813
2024-11-05,113546
2024-11-07,114504
2024-11-10,114119
2024-11-14,114878
2024-11-19,113746
2024-11-21,114301
2024-11-27,114586
2024-12-01,115174
2024-12-03,117084
2024-12-09,116943
2024-12-10,118028
2024-12-15,118054
2024-12-18,118790
2024-12-23,119410
2024-12-25,118761
2024-12-29,118314
2025-01-02,119896
2025-01-06,120560
2025-01-08,120049
2025-01-15,120778
2025-01-17,120451
2025-01-21,116809
2025-01-24,119085
2025-01-28,118998
2025-02-02,118848
2025-02-05,118759
2025-02-08,117983
2025-02-13,117466
2025-02-17,117113
2025-02-18,116201
2025-02-23,115185
2025-02-26,115111
2025-03-01,116883
2025-03-06,115457
2025-03-08,116825
2025-03-12,114773
2025-03-17,115428
2025-03-20,117378
2025-03-26,116917
2025-03-30,118104
2025-04-01,117982
2025-04-06,117972
2025-04-09,116339
2025-04-11,116766
2025-04-15,116307
2025-04-20,116274
2025-04-25,115990
2025-04-26,116659
2025-05-01,117892
2025-05-05,116148
2025-05-07,115745
2025-05-10,115355
2025-05-15,115533
2025-05-20,114991
2025-05-23,116346
2025-05-27,116057
2025-05-30,116714
2025-06-02,116289
2025-06-05,117115
2025-06-12,116281
2025-06-13,115735
2025-06-17,115409
