date,price(SGD)
2024-06-18,67986
2024-06-21,68049
2024-06-24,68018
2024-06-28,67922
2024-07-02,67606
2024-07-04,67962
2024-07-08,68244
2024-07-11,67986
2024-07-17,68037
2024-07-19,67529
2024-07-24,68206
2024-07-28,68024
2024-07-29,68244
2024-08-02,67420
2024-08-06,67667
2024-08-09,66454
2024-08-14,65032
2024-08-19,65299
2024-08-23,65896
2024-08-26,65085
2024-08-28,65166
2024-09-02,64822
2024-09-04,65357
2024-09-08,64414
2024-09-13,65368
2024-09-17,65173
2024-09-22,64177
2024-09-24,65090
2024-09-27,65007
2024-10-01,65688
2024-10-07,64743
2024-10-09,65965
2024-10-11,65692
2024-10-16,67416
2024-10-20,67377
2024-10-22,67035
2024-10-29,67218
2024-10-31,68386
2024-11-03,68555
2024-11-07,68632
2024-11-13,68280
2024-11-16,68484
2024-11-18,69013
2024-11-24,68062
2024-11-26,66196
2024-11-29,67513
2024-12-04,66493
2024-12-06,67653
2024-12-11,68260
2024-12-13,67007
2024-12-17,67443
2024-12-21,67256
2024-12-26,67333
2024-12-28,69085
2025-01-03,68272
2025-01-07,70554
2025-01-10,69015
2025-01-12,70686
2025-01-16,69929
2025-01-19,70218
2025-01-24,68513
2025-01-27,69115
2025-01-30,68870
2025-02-06,68997
2025-02-08,68769
2025-02-11,69012
2025-02-17,68730
2025-02-19,68089
2025-02-22,68306
2025-02-27,68181
2025-03-04,68546
2025-03-05,68303
2025-03-11,69348
2025-03-15,69214
2025-03-16,69645
2025-03-22,68765
2025-03-23,68529
2025-03-30,69329
2025-04-01,69119
2025-04-06,69442
2025-04-07,71078
2025-04-12,71180
2025-04-17,71514
2025-04-19,71450
2025-04-23,70383
2025-04-27,69443
2025-05-01,69964
2025-05-05,69483
2025-05-09,69529
2025-05-12,67781
2025-05-17,67837
2025-05-21,67488
2025-05-23,66576
2025-05-28,66377
2025-06-01,67901
2025-06-02,66897
2025-06-05,67985
2025-06-12,66679
2025-06-13,67770
2025-06-17,67709
