date,price(SGD)
2024-06-18,98275
2024-06-21,98933
2024-06-22,98405
2024-06-27,98854
2024-07-01,98308
2024-07-05,99283
2024-07-08,98956
2024-07-11,98951
2024-07-17,99750
2024-07-20,99670
2024-07-22,99114
2024-07-26,98637
2024-07-30,98702
2024-08-05,98359
2024-08-06,98685
2024-08-09,98383
2024-08-15,97812
2024-08-17,98197
2024-08-20,97548
2024-08-25,97281
2024-08-31,95736
2024-09-03,95584
2024-09-07,95794
2024-09-11,94714
2024-09-12,95465
2024-09-16,94042
2024-09-22,93442
2024-09-25,94355
2024-09-29,93810
2024-10-02,95013
2024-10-06,94904
2024-10-10,96509
2024-10-12,96254
2024-10-16,95372
2024-10-21,95809
2024-10-23,95321
2024-10-27,95708
2024-10-31,97791
2024-11-03,97643
2024-11-08,95834
2024-11-13,96098
2024-11-16,96344
2024-11-20,96333
2024-11-21,98327
2024-11-25,97694
2024-11-28,98101
2024-12-02,97460
2024-12-08,97117
2024-12-10,97805
2024-12-15,97886
2024-12-18,97708
2024-12-22,98291
2024-12-25,97947
2024-12-28,94221
2025-01-01,95435
2025-01-05,95612
2025-01-10,96726
2025-01-14,97089
2025-01-16,97726
2025-01-20,97969
2025-01-25,98062
2025-01-29,97160
2025-02-02,97060
2025-02-05,97447
2025-02-08,97722
2025-02-11,96980
2025-02-16,96551
2025-02-21,96370
2025-02-23,96291
2025-02-25,97239
2025-03-04,97272
2025-03-07,97517
2025-03-11,97302
2025-03-14,97607
2025-03-18,97755
2025-03-22,97592
2025-03-25,96903
2025-03-27,98405
2025-03-31,99457
2025-04-03,98980
2025-04-09,99865
2025-04-13,99067
2025-04-15,98270
2025-04-18,99167
2025-04-22,99121
2025-04-27,98992
2025-04-30,98161
2025-05-03,98477
2025-05-09,97702
2025-05-11,98052
2025-05-15,97516
2025-05-18,97247
2025-05-24,98119
2025-05-26,97752
2025-05-31,97645
2025-06-04,96961
2025-06-05,97345
2025-06-11,98460
2025-06-16,98202
2025-06-17,98193
