date,price(SGD)
2024-06-18,50189
2024-06-21,50208
2024-06-25,49912
2024-06-27,50038
2024-07-02,50067
2024-07-04,49841
2024-07-10,49304
2024-07-11,50208
2024-07-17,50137
2024-07-21,50001
2024-07-24,49405
2024-07-27,50401
2024-07-30,50626
2024-08-05,50372
2024-08-06,50398
2024-08-10,50325
2024-08-14,49761
2024-08-19,49553
2024-08-22,48472
2024-08-25,49218
2024-08-29,48957
2024-09-03,48857
2024-09-04,48779
2024-09-09,48571
2024-09-14,48429
2024-09-18,48353
2024-09-19,48710
2024-09-26,48918
2024-09-27,48123
2024-10-02,48087
2024-10-04,47883
2024-10-08,47969
2024-10-11,47771
2024-10-16,47861
2024-10-19,47747
2024-10-23,47814
2024-10-26,48549
2024-10-30,48758
2024-11-05,48573
2024-11-09,47743
2024-11-11,47959
2024-11-16,48380
2024-11-18,48461
2024-11-24,48309
2024-11-27,47913
2024-12-01,47932
2024-12-03,47000
2024-12-09,47036
2024-12-12,46877
2024-12-13,47372
2024-12-18,47323
2024-12-21,47662
2024-12-25,47459
2024-12-31,47806
2025-01-01,46969
2025-01-06,47082
2025-01-08,47360
2025-01-12,47165
2025-01-16,47657
2025-01-22,47606
2025-01-25,47985
2025-01-29,47937
2025-01-30,47821
2025-02-04,47765
2025-02-07,47957
2025-02-11,47905
2025-02-17,47768
2025-02-20,48499
2025-02-23,48673
2025-02-27,48292
2025-03-03,48500
2025-03-05,47671
2025-03-08,47846
2025-03-12,47077
2025-03-18,47010
2025-03-21,47048
2025-03-26,46679
2025-03-30,46669
2025-04-01,46631
2025-04-06,46948
2025-04-07,47702
2025-04-12,47092
2025-04-16,47121
2025-04-18,47036
2025-04-23,47037
2025-04-26,46772
2025-05-01,46714
2025-05-03,46414
2025-05-09,46110
2025-05-12,45807
2025-05-14,45846
2025-05-18,45718
2025-05-22,45694
2025-05-27,45445
2025-05-30,45613
2025-06-03,45536
2025-06-08,45351
2025-06-10,45247
2025-06-13,45423
2025-06-17,45333
