date,price(SGD)
2024-06-18,44415
2024-06-21,44552
2024-06-25,44359
2024-06-27,44622
2024-07-01,44547
2024-07-06,44566
2024-07-10,45547
2024-07-12,45230
2024-07-15,45164
2024-07-18,46082
2024-07-25,46019
2024-07-28,45865
2024-07-29,45195
2024-08-03,45425
2024-08-07,45274
2024-08-12,45076
2024-08-15,45378
2024-08-19,45255
2024-08-23,45533
2024-08-25,45260
2024-08-28,45380
2024-09-03,45175
2024-09-07,45624
2024-09-11,45522
2024-09-12,45983
2024-09-16,45673
2024-09-21,45896
2024-09-24,45805
2024-09-29,46029
2024-10-01,45535
2024-10-05,45498
2024-10-10,45748
2024-10-14,45688
2024-10-17,45447
2024-10-20,45567
2024-10-22,45238
2024-10-27,45523
2024-11-02,45776
2024-11-03,46865
2024-11-09,47333
2024-11-13,46408
2024-11-16,46527
2024-11-20,46546
2024-11-23,47810
2024-11-25,47664
2024-11-28,47799
2024-12-02,47782
2024-12-09,47913
2024-12-10,47932
2024-12-13,47491
2024-12-19,47183
2024-12-23,47294
2024-12-25,46838
2024-12-29,46965
2025-01-01,46961
2025-01-07,46128
2025-01-11,46170
2025-01-13,45632
2025-01-16,45589
2025-01-21,45859
2025-01-23,45849
2025-01-27,45658
2025-01-31,45552
2025-02-06,45650
2025-02-10,45562
2025-02-11,45470
2025-02-16,45197
2025-02-20,45096
2025-02-23,45142
2025-02-28,45557
2025-03-04,45908
2025-03-06,45129
2025-03-08,45754
2025-03-12,45619
2025-03-18,45675
2025-03-22,45538
2025-03-24,45160
2025-03-30,45267
2025-04-01,44754
2025-04-06,44767
2025-04-07,44628
2025-04-12,44576
2025-04-15,44149
2025-04-21,44036
2025-04-23,43607
2025-04-26,43502
2025-05-02,43136
2025-05-04,43362
2025-05-07,42825
2025-05-12,42634
2025-05-14,42772
2025-05-18,42599
2025-05-24,42600
2025-05-27,42344
2025-06-01,42316
2025-06-02,42166
2025-06-08,42025
2025-06-09,42248
2025-06-13,41913
2025-06-17,41995
