date,price(SGD)
2024-06-18,72764
2024-06-21,72792
2024-06-22,73504
2024-06-29,73574
2024-07-01,73780
2024-07-06,73819
2024-07-09,73817
2024-07-12,73784
2024-07-17,73691
2024-07-20,73647
2024-07-25,73558
2024-07-26,73532
2024-07-31,73400
2024-08-02,73317
2024-08-08,73052
2024-08-12,72759
2024-08-13,72721
2024-08-18,72494
2024-08-23,72153
2024-08-26,71927
2024-08-28,70826
2024-09-01,70595
2024-09-07,70364
2024-09-11,70434
2024-09-13,67322
2024-09-17,67175
2024-09-22,67041
2024-09-25,66972
2024-09-27,66904
2024-10-02,66719
2024-10-07,66700
2024-10-10,66869
2024-10-13,66885
2024-10-16,66944
2024-10-20,67065
2024-10-25,67314
2024-10-28,69936
2024-11-01,70216
2024-11-05,70362
2024-11-06,71721
2024-11-13,71991
2024-11-15,72119
2024-11-20,72403
2024-11-21,71767
2024-11-25,71894
2024-11-28,72090
2024-12-05,72351
2024-12-09,72464
2024-12-11,73441
2024-12-16,73489
2024-12-20,73882
2024-12-21,75251
2024-12-26,75360
2024-12-30,75490
2025-01-04,75711
2025-01-06,75810
2025-01-09,75178
2025-01-15,75434
2025-01-17,84475
2025-01-21,84550
2025-01-24,84499
2025-01-27,84419
2025-02-02,84301
2025-02-05,84423
2025-02-08,84336
2025-02-11,84094
2025-02-16,84144
2025-02-20,83473
2025-02-24,83347
2025-02-25,83126
2025-03-01,83015
2025-03-07,82985
2025-03-10,82580
2025-03-15,82389
2025-03-19,82138
2025-03-20,82475
2025-03-23,82292
2025-03-30,82405
2025-03-31,82626
2025-04-03,82380
2025-04-07,82761
2025-04-13,82547
2025-04-17,82383
2025-04-18,82338
2025-04-22,81994
2025-04-27,81709
2025-05-01,81432
2025-05-05,81100
2025-05-09,80642
2025-05-13,80453
2025-05-15,80237
2025-05-18,80161
2025-05-24,79964
2025-05-25,79992
2025-05-29,79769
2025-06-04,79601
2025-06-08,79541
2025-06-12,79299
2025-06-13,79298
2025-06-17,79152
