date,price(SGD)
2024-06-18,44222
2024-06-21,44239
2024-06-25,44254
2024-06-29,44287
2024-07-01,44799
2024-07-06,44886
2024-07-07,44525
2024-07-11,45108
2024-07-15,44253
2024-07-18,44528
2024-07-25,44448
2024-07-28,43933
2024-07-31,43886
2024-08-05,43755
2024-08-08,43638
2024-08-09,43270
2024-08-14,43098
2024-08-17,42664
2024-08-20,42698
2024-08-25,42389
2024-08-30,42275
2024-09-03,42245
2024-09-06,40933
2024-09-11,40797
2024-09-13,40400
2024-09-16,40334
2024-09-21,40276
2024-09-26,40179
2024-09-29,39976
2024-10-03,40537
2024-10-07,40370
2024-10-09,41057
2024-10-11,41265
2024-10-17,41348
2024-10-19,41687
2024-10-23,41606
2024-10-28,41396
2024-10-30,42165
2024-11-05,42460
2024-11-06,41922
2024-11-10,42301
2024-11-14,42309
2024-11-20,42423
2024-11-23,42137
2024-11-27,42323
2024-11-29,42163
2024-12-05,42298
2024-12-06,41955
2024-12-12,42046
2024-12-14,41643
2024-12-20,41713
2024-12-22,41406
2024-12-25,40964
2024-12-28,41302
2025-01-04,41501
2025-01-05,41320
2025-01-09,41083
2025-01-15,41223
2025-01-17,41162
2025-01-21,41243
2025-01-26,40758
2025-01-28,41003
2025-02-02,40953
2025-02-06,41091
2025-02-09,41044
2025-02-12,40505
2025-02-17,40593
2025-02-20,39029
2025-02-23,38896
2025-02-26,39104
2025-03-04,39010
2025-03-06,39098
2025-03-10,39221
2025-03-12,38980
2025-03-19,38859
2025-03-22,37960
2025-03-26,37704
2025-03-28,37656
2025-03-31,38045
2025-04-03,38218
2025-04-08,38285
2025-04-11,38036
2025-04-17,38237
2025-04-18,39244
2025-04-24,39139
2025-04-28,38610
2025-05-01,38240
2025-05-03,38407
2025-05-08,38065
2025-05-13,39529
2025-05-16,39673
2025-05-20,39706
2025-05-23,38649
2025-05-27,39183
2025-05-30,39215
2025-06-04,39515
2025-06-05,39037
2025-06-09,39000
2025-06-14,37535
2025-06-17,38363
