date,price(SGD)
2024-06-18,25706
2024-06-20,25718
2024-06-22,25646
2024-06-27,25617
2024-07-02,25728
2024-07-05,25723
2024-07-09,25546
2024-07-11,25538
2024-07-16,25548
2024-07-19,25606
2024-07-23,25584
2024-07-28,25515
2024-07-29,25561
2024-08-02,25530
2024-08-08,25401
2024-08-11,25503
2024-08-16,25458
2024-08-19,25397
2024-08-20,25232
2024-08-27,25137
2024-08-31,25139
2024-09-03,25000
2024-09-05,25024
2024-09-10,24838
2024-09-14,24809
2024-09-15,24889
2024-09-19,24780
2024-09-24,24854
2024-09-27,24782
2024-10-02,24797
2024-10-06,24791
2024-10-08,24699
2024-10-13,24777
2024-10-16,24734
2024-10-21,24800
2024-10-23,24885
2024-10-28,24957
2024-11-02,25044
2024-11-05,24979
2024-11-07,25040
2024-11-13,25106
2024-11-15,25155
2024-11-17,25206
2024-11-21,25170
2024-11-27,25293
2024-11-30,25315
2024-12-03,25203
2024-12-07,25315
2024-12-11,25219
2024-12-15,25154
2024-12-20,25194
2024-12-23,25119
2024-12-26,25081
2024-12-29,25140
2025-01-03,25300
2025-01-07,25179
2025-01-10,25165
2025-01-12,25177
2025-01-16,25350
2025-01-19,25304
2025-01-23,25392
2025-01-27,25272
2025-02-02,25237
2025-02-05,25188
2025-02-10,25159
2025-02-13,25111
2025-02-15,25183
2025-02-18,25080
2025-02-22,25013
2025-02-25,25144
2025-03-03,25220
2025-03-07,25152
2025-03-10,25145
2025-03-12,25155
2025-03-17,25444
2025-03-20,25399
2025-03-26,25468
2025-03-27,25328
2025-04-01,25437
2025-04-06,25392
2025-04-08,25159
2025-04-14,25097
2025-04-16,24918
2025-04-21,24784
2025-04-23,24820
2025-04-28,24659
2025-04-30,24695
2025-05-06,24551
2025-05-08,24687
2025-05-10,24629
2025-05-17,24622
2025-05-21,24763
2025-05-24,24688
2025-05-28,24765
2025-05-29,24790
2025-06-04,24651
2025-06-07,24616
2025-06-09,24667
2025-06-16,24634
2025-06-17,24566
