date,price(SGD)
2024-06-18,24943
2024-06-20,24980
2024-06-24,24954
2024-06-28,24988
2024-07-02,24861
2024-07-06,24974
2024-07-10,24981
2024-07-12,24837
2024-07-15,24818
2024-07-19,24621
2024-07-24,24478
2024-07-26,24488
2024-07-30,24413
2024-08-02,24513
2024-08-07,24484
2024-08-10,24430
2024-08-14,24517
2024-08-17,24389
2024-08-23,24441
2024-08-25,24318
2024-08-29,24222
2024-09-01,23935
2024-09-07,23730
2024-09-08,23684
2024-09-14,23719
2024-09-17,23701
2024-09-22,23395
2024-09-23,23430
2024-09-29,23385
2024-10-01,23557
2024-10-04,23602
2024-10-09,23637
2024-10-11,23578
2024-10-18,23623
2024-10-20,23693
2024-10-23,23690
2024-10-27,23820
2024-11-02,23677
2024-11-05,23799
2024-11-09,23813
2024-11-12,23948
2024-11-15,24054
2024-11-18,24154
2024-11-23,24093
2024-11-25,24173
2024-11-28,24142
2024-12-02,24181
2024-12-06,24111
2024-12-11,24088
2024-12-14,24061
2024-12-18,23860
2024-12-23,23905
2024-12-27,23791
2024-12-31,23925
2025-01-03,23848
2025-01-06,23864
2025-01-11,24025
2025-01-15,23990
2025-01-16,23934
2025-01-21,23882
2025-01-25,23852
2025-01-27,23996
2025-01-31,23840
2025-02-03,23900
2025-02-09,23687
2025-02-13,23711
2025-02-15,23645
2025-02-19,23556
2025-02-24,23543
2025-02-26,23437
2025-03-03,23337
2025-03-06,23420
2025-03-10,23403
2025-03-12,23505
2025-03-16,23559
2025-03-22,23487
2025-03-26,23632
2025-03-29,23833
2025-04-02,23732
2025-04-06,23897
2025-04-08,23797
2025-04-13,23810
2025-04-15,23689
2025-04-20,23742
2025-04-22,23622
2025-04-28,23476
2025-04-30,23492
2025-05-03,23335
2025-05-07,23369
2025-05-12,23219
2025-05-17,23221
2025-05-19,23070
2025-05-22,23074
2025-05-26,22968
2025-06-01,23012
2025-06-03,22950
2025-06-05,22841
2025-06-10,22566
2025-06-16,22543
2025-06-17,22677
