date,price(SGD)
2024-06-18,15120
2024-06-20,15043
2024-06-24,15197
2024-06-28,15138
2024-06-30,15117
2024-07-03,15136
2024-07-08,15218
2024-07-13,15115
2024-07-16,15185
2024-07-18,15118
2024-07-22,15170
2024-07-26,15067
2024-07-30,15122
2024-08-03,15028
2024-08-07,14870
2024-08-09,14906
2024-08-13,14837
2024-08-18,14596
2024-08-23,14552
2024-08-25,14415
2024-08-30,14463
2024-09-02,14453
2024-09-07,14280
2024-09-11,14437
2024-09-12,14346
2024-09-15,14357
2024-09-22,14520
2024-09-24,14654
2024-09-29,14677
2024-10-03,14678
2024-10-05,14593
2024-10-08,14684
2024-10-12,14615
2024-10-18,14730
2024-10-20,14577
2024-10-24,14607
2024-10-26,14565
2024-10-31,14549
2024-11-04,14566
2024-11-06,14676
2024-11-10,14678
2024-11-15,14792
2024-11-19,14853
2024-11-22,14774
2024-11-26,14852
2024-11-30,14873
2024-12-05,15037
2024-12-06,14984
2024-12-11,15056
2024-12-15,14905
2024-12-20,14821
2024-12-22,14879
2024-12-27,14813
2024-12-29,14841
2025-01-03,14796
2025-01-06,14817
2025-01-11,14964
2025-01-15,14923
2025-01-18,15009
2025-01-21,14937
2025-01-23,14995
2025-01-29,14942
2025-02-01,14812
2025-02-06,14779
2025-02-09,14705
2025-02-11,14756
2025-02-15,14688
2025-02-19,14789
2025-02-23,14675
2025-02-25,14802
2025-03-04,14972
2025-03-07,14963
2025-03-08,14827
2025-03-15,14861
2025-03-16,14974
2025-03-21,14915
2025-03-23,15000
2025-03-27,15057
2025-03-31,15002
2025-04-04,15098
2025-04-08,15079
2025-04-12,15062
2025-04-17,15015
2025-04-21,14872
2025-04-24,14865
2025-04-27,14740
2025-05-01,14760
2025-05-04,14762
2025-05-09,14535
2025-05-11,14473
2025-05-17,14356
2025-05-20,14436
2025-05-24,14353
2025-05-27,14380
2025-05-30,14299
2025-06-02,14418
2025-06-06,14208
2025-06-10,14418
2025-06-13,14386
2025-06-17,14437
