date,price(SGD)
2024-06-18,19220
2024-06-20,19244
2024-06-25,19106
2024-06-27,19179
2024-07-01,19158
2024-07-03,19050
2024-07-07,19039
2024-07-12,19116
2024-07-15,19028
2024-07-19,18939
2024-07-25,18926
2024-07-26,18830
2024-07-29,18731
2024-08-02,18708
2024-08-06,18583
2024-08-09,18477
2024-08-13,18414
2024-08-19,18400
2024-08-21,18318
2024-08-26,18284
2024-08-30,18156
2024-09-03,18131
2024-09-07,17860
2024-09-11,17859
2024-09-12,17965
2024-09-15,17857
2024-09-21,17957
2024-09-26,17870
2024-09-28,17924
2024-10-03,17860
2024-10-05,17887
2024-10-09,18014
2024-10-14,17969
2024-10-16,18026
2024-10-20,18003
2024-10-23,17915
2024-10-26,17868
2024-10-30,17956
2024-11-03,17928
2024-11-08,17931
2024-11-12,17966
2024-11-16,18018
2024-11-20,18087
2024-11-23,18105
2024-11-26,18059
2024-11-28,18117
2024-12-04,18049
2024-12-08,18195
2024-12-11,18198
2024-12-14,18250
2024-12-17,18223
2024-12-23,18284
2024-12-24,18341
2024-12-30,18485
2025-01-02,18514
2025-01-06,18502
2025-01-10,18528
2025-01-13,18463
2025-01-17,18373
2025-01-20,18416
2025-01-25,18373
2025-01-29,18430
2025-02-02,18366
2025-02-05,18392
2025-02-09,18281
2025-02-11,18301
2025-02-17,18205
2025-02-18,18224
2025-02-22,18257
2025-02-28,18223
2025-03-02,18269
2025-03-05,18180
2025-03-10,18227
2025-03-12,18193
2025-03-17,18171
2025-03-20,18249
2025-03-25,18139
2025-03-29,18216
2025-03-31,18222
2025-04-05,18190
2025-04-08,18109
2025-04-11,18073
2025-04-16,17985
2025-04-18,18031
2025-04-25,18021
2025-04-28,17984
2025-04-30,17965
2025-05-04,17833
2025-05-08,17792
2025-05-10,17728
2025-05-15,17685
2025-05-18,17582
2025-05-22,17522
2025-05-25,17419
2025-05-31,17267
2025-06-04,17361
2025-06-05,17299
2025-06-09,17240
2025-06-15,17371
2025-06-17,17369
