date,price(SGD)
2024-06-18,24561
2024-06-19,24566
2024-06-25,24425
2024-06-28,24499
2024-07-02,24357
2024-07-04,24541
2024-07-10,24223
2024-07-12,24233
2024-07-16,24031
2024-07-18,24085
2024-07-22,23900
2024-07-28,23761
2024-07-31,23918
2024-08-03,23699
2024-08-07,23605
2024-08-11,23685
2024-08-16,23558
2024-08-19,23609
2024-08-22,23624
2024-08-25,23587
2024-08-29,23377
2024-09-01,23435
2024-09-05,23460
2024-09-10,23417
2024-09-12,23529
2024-09-15,23567
2024-09-20,23344
2024-09-24,23278
2024-09-27,23428
2024-10-02,23500
2024-10-04,23305
2024-10-08,23386
2024-10-12,23217
2024-10-18,23161
2024-10-19,23141
2024-10-23,23281
2024-10-29,23255
2024-11-01,23314
2024-11-03,23466
2024-11-07,23421
2024-11-10,23598
2024-11-14,23606
2024-11-17,23709
2024-11-22,23638
2024-11-26,23772
2024-11-29,23776
2024-12-03,23936
2024-12-09,23853
2024-12-12,23959
2024-12-14,23913
2024-12-19,24011
2024-12-22,24120
2024-12-27,24011
2024-12-31,23936
2025-01-03,24002
2025-01-05,23915
2025-01-08,24076
2025-01-12,23989
2025-01-16,24037
2025-01-22,23933
2025-01-23,23988
2025-01-29,24018
2025-02-01,23616
2025-02-04,23537
2025-02-10,23465
2025-02-13,23370
2025-02-14,23347
2025-02-19,23266
2025-02-24,23281
2025-02-28,23199
2025-03-04,23613
2025-03-05,23642
2025-03-11,23644
2025-03-12,23577
2025-03-16,23492
2025-03-21,23401
2025-03-26,23517
2025-03-30,23424
2025-04-02,23569
2025-04-06,23576
2025-04-07,23380
2025-04-13,23305
2025-04-17,23152
2025-04-21,23244
2025-04-23,23145
2025-04-27,23084
2025-04-30,23144
2025-05-04,22977
2025-05-07,23012
2025-05-11,22770
2025-05-14,22926
2025-05-20,22951
2025-05-22,22873
2025-05-28,22828
2025-05-31,22706
2025-06-04,22715
2025-06-08,22616
2025-06-11,22438
2025-06-14,22118
2025-06-17,22149
