date,price(SGD)
2024-06-18,24095
2024-06-21,24127
2024-06-24,24194
2024-06-26,24122
2024-07-02,24223
2024-07-03,24183
2024-07-10,24061
2024-07-13,24055
2024-07-17,23910
2024-07-20,23902
2024-07-24,23764
2024-07-26,23760
2024-07-30,23700
2024-08-02,23594
2024-08-08,23504
2024-08-12,23237
2024-08-16,23133
2024-08-19,22960
2024-08-21,22851
2024-08-27,22750
2024-08-31,22557
2024-09-03,22620
2024-09-04,22669
2024-09-09,22414
2024-09-13,22498
2024-09-18,22420
2024-09-20,22527
2024-09-23,22528
2024-09-27,22296
2024-10-02,22246
2024-10-06,22080
2024-10-08,22115
2024-10-13,22013
2024-10-15,22061
2024-10-21,21892
2024-10-22,21875
2024-10-26,21925
2024-11-01,21960
2024-11-05,21894
2024-11-08,21933
2024-11-12,21923
2024-11-16,21997
2024-11-19,21964
2024-11-23,22012
2024-11-27,22141
2024-11-28,22053
2024-12-02,22025
2024-12-09,22097
2024-12-10,22098
2024-12-14,21938
2024-12-19,22008
2024-12-23,21893
2024-12-24,21860
2024-12-31,21884
2025-01-04,21962
2025-01-06,21982
2025-01-09,22007
2025-01-14,22220
2025-01-18,22075
2025-01-19,22173
2025-01-23,22228
2025-01-28,22237
2025-01-31,22153
2025-02-05,22158
2025-02-10,22092
2025-02-13,22000
2025-02-17,21896
2025-02-21,21998
2025-02-24,21940
2025-02-28,22000
2025-03-03,22031
2025-03-05,21683
2025-03-10,21705
2025-03-12,21822
2025-03-16,21776
2025-03-20,21943
2025-03-25,21901
2025-03-27,21960
2025-04-02,21768
2025-04-06,21966
2025-04-10,21964
2025-04-14,21812
2025-04-16,21867
2025-04-18,21735
2025-04-23,21692
2025-04-26,21524
2025-05-01,21535
2025-05-05,21337
2025-05-07,21300
2025-05-12,21267
2025-05-14,21324
2025-05-21,21378
2025-05-23,21298
2025-05-28,21251
2025-06-01,21229
2025-06-02,21311
2025-06-07,21169
2025-06-09,21225
2025-06-14,21141
2025-06-17,21217
