date,price(SGD)
2024-06-18,12729
2024-06-21,12688
2024-06-24,12559
2024-06-28,12550
2024-06-30,12493
2024-07-04,12568
2024-07-07,12488
2024-07-11,12586
2024-07-14,12460
2024-07-21,12351
2024-07-25,12496
2024-07-27,12561
2024-07-29,12478
2024-08-04,12424
2024-08-08,12443
2024-08-11,12559
2024-08-15,12506
2024-08-19,12376
2024-08-23,12279
2024-08-27,12264
2024-08-31,12146
2024-09-02,12131
2024-09-06,12182
2024-09-10,11976
2024-09-14,11994
2024-09-15,12041
2024-09-22,12061
2024-09-25,11971
2024-09-29,11947
2024-10-01,12033
2024-10-04,12051
2024-10-08,11930
2024-10-13,12064
2024-10-15,12031
2024-10-19,12082
2024-10-22,11984
2024-10-29,12106
2024-11-02,12044
2024-11-05,12056
2024-11-07,12123
2024-11-11,12102
2024-11-15,12103
2024-11-20,12161
2024-11-22,12263
2024-11-27,12357
2024-11-28,12291
2024-12-02,12341
2024-12-06,12359
2024-12-11,12325
2024-12-15,12431
2024-12-17,12364
2024-12-23,12329
2024-12-25,12359
2024-12-31,12349
2025-01-04,12434
2025-01-05,12417
2025-01-11,12433
2025-01-13,12497
2025-01-18,12516
2025-01-20,12568
2025-01-26,12526
2025-01-28,12447
2025-01-31,12418
2025-02-06,12469
2025-02-08,12451
2025-02-13,12265
2025-02-16,12198
2025-02-20,12154
2025-02-23,12135
2025-02-25,12147
2025-03-02,12328
2025-03-06,12281
2025-03-10,12295
2025-03-12,12360
2025-03-18,12435
2025-03-22,12428
2025-03-25,12426
2025-03-29,12326
2025-04-01,12356
2025-04-03,12356
2025-04-07,12284
2025-04-12,12302
2025-04-17,12200
2025-04-21,12218
2025-04-25,12123
2025-04-27,12129
2025-04-29,12064
2025-05-04,12004
2025-05-07,12022
2025-05-12,11982
2025-05-15,12056
2025-05-21,11911
2025-05-22,11922
2025-05-26,11867
2025-05-29,11912
2025-06-02,11888
2025-06-07,11946
2025-06-12,11864
2025-06-14,11856
2025-06-17,11930
