date,price(SGD)
2024-06-18,14690
2024-06-20,14758
2024-06-25,14710
2024-06-29,14620
2024-06-30,14667
2024-07-06,14510
2024-07-09,14482
2024-07-12,14608
2024-07-15,14545
2024-07-18,14596
2024-07-22,14560
2024-07-26,14662
2024-07-29,14592
2024-08-04,14612
2024-08-08,14566
2024-08-11,14404
2024-08-16,14206
2024-08-18,14235
2024-08-22,14229
2024-08-25,14070
2024-08-29,13980
2024-09-01,14076
2024-09-07,14004
2024-09-09,14116
2024-09-12,14043
2024-09-16,14057
2024-09-22,13928
2024-09-24,13990
2024-09-29,13927
2024-10-02,14037
2024-10-05,14064
2024-10-10,13960
2024-10-12,14035
2024-10-16,14053
2024-10-20,14018
2024-10-22,14090
2024-10-26,14111
2024-10-30,14006
2024-11-04,14074
2024-11-08,13972
2024-11-10,14052
2024-11-14,14127
2024-11-19,14152
2024-11-21,14098
2024-11-27,14108
2024-12-01,13973
2024-12-05,14098
2024-12-06,14056
2024-12-11,14224
2024-12-13,14114
2024-12-18,14167
2024-12-23,14321
2024-12-27,14268
2024-12-29,14279
2025-01-02,14402
2025-01-06,14432
2025-01-08,14542
2025-01-14,14567
2025-01-16,14490
2025-01-22,14355
2025-01-24,14342
2025-01-27,14369
2025-01-30,14378
2025-02-04,14319
2025-02-07,14197
2025-02-13,14142
2025-02-17,13922
2025-02-18,13882
2025-02-22,14029
2025-02-25,13988
2025-03-02,13994
2025-03-05,14047
2025-03-10,14008
2025-03-15,13994
2025-03-18,14063
2025-03-20,14208
2025-03-26,14171
2025-03-28,14166
2025-04-01,14054
2025-04-06,14023
2025-04-07,13929
2025-04-13,13802
2025-04-17,13790
2025-04-19,13727
2025-04-24,13652
2025-04-26,13575
2025-05-01,13508
2025-05-05,13385
2025-05-08,13344
2025-05-12,13400
2025-05-17,13337
2025-05-19,13441
2025-05-23,13447
2025-05-26,13363
2025-05-31,13326
2025-06-03,13404
2025-06-06,13399
2025-06-10,13371
2025-06-15,13250
2025-06-17,13260
