date,price(SGD)
2024-06-18,11643
2024-06-20,11577
2024-06-25,11583
2024-06-28,11508
2024-07-02,11476
2024-07-04,11475
2024-07-08,11576
2024-07-11,11590
2024-07-15,11562
2024-07-18,11605
2024-07-22,11560
2024-07-28,11617
2024-08-01,11592
2024-08-04,11665
2024-08-06,11570
2024-08-10,11503
2024-08-16,11433
2024-08-19,11442
2024-08-21,11368
2024-08-24,11366
2024-08-29,11263
2024-09-03,11282
2024-09-05,11256
2024-09-10,11267
2024-09-14,11228
2024-09-16,11238
2024-09-19,11209
2024-09-24,11243
2024-09-28,11311
2024-10-02,11303
2024-10-05,11204
2024-10-08,11261
2024-10-11,11153
2024-10-17,11106
2024-10-20,11137
2024-10-25,11064
2024-10-26,11052
2024-11-01,11075
2024-11-03,11117
2024-11-08,11141
2024-11-11,11179
2024-11-15,11273
2024-11-18,11312
2024-11-24,11268
2024-11-26,11168
2024-11-28,11226
2024-12-03,11228
2024-12-08,11278
2024-12-11,11288
2024-12-13,11193
2024-12-18,11256
2024-12-22,11231
2024-12-27,11275
2024-12-30,11344
2025-01-03,11288
2025-01-07,11275
2025-01-08,11303
2025-01-14,11337
2025-01-16,11273
2025-01-22,11260
2025-01-25,11293
2025-01-27,11231
2025-02-02,11214
2025-02-06,11063
2025-02-09,11080
2025-02-13,11034
2025-02-16,11022
2025-02-20,10884
2025-02-22,10866
2025-02-26,10920
2025-03-01,10916
2025-03-05,10829
2025-03-09,10913
2025-03-12,10945
2025-03-18,10897
2025-03-20,10995
2025-03-26,10973
2025-03-28,11048
2025-03-31,10973
2025-04-05,10982
2025-04-10,10933
2025-04-13,10838
2025-04-17,10817
2025-04-21,10700
2025-04-24,10757
2025-04-26,10657
2025-04-30,10537
2025-05-03,10520
2025-05-08,10568
2025-05-10,10476
2025-05-16,10565
2025-05-21,10532
2025-05-22,10465
2025-05-28,10424
2025-06-01,10467
2025-06-03,10405
2025-06-05,10471
2025-06-09,10361
2025-06-14,10493
2025-06-17,10481
