date,price(SGD)
2024-05-11,15463
2024-05-14,15453
2024-05-18,15320
2024-05-22,15310
2024-05-25,15361
2024-05-27,15298
2024-05-31,15315
2024-06-04,15296
2024-06-08,15371
2024-06-11,15361
2024-06-14,15439
2024-06-19,15473
2024-06-21,15369
2024-06-27,15334
2024-06-29,15370
2024-07-03,15431
2024-07-08,15345
2024-07-12,15356
2024-07-16,15281
2024-07-20,15270
2024-07-24,15303
2024-07-26,15228
2024-07-30,15334
2024-08-03,15210
2024-08-06,15257
2024-08-08,15151
2024-08-13,15081
2024-08-17,14963
2024-08-20,14928
2024-08-23,14832
2024-08-28,14755
2024-08-31,14813
2024-09-05,14690
2024-09-10,14754
2024-09-11,14674
2024-09-15,14648
2024-09-18,14776
2024-09-23,14803
2024-09-27,14801
2024-10-01,14785
2024-10-04,14766
2024-10-09,14653
2024-10-12,14659
2024-10-16,14711
2024-10-18,14656
2024-10-21,14617
2024-10-25,14670
2024-10-30,14705
2024-11-02,14679
2024-11-08,14806
2024-11-11,14829
2024-11-14,14807
2024-11-17,14819
2024-11-21,14752
2024-11-26,14770
2024-11-29,14674
2024-12-04,14812
2024-12-06,14826
2024-12-09,14737
2024-12-15,14754
2024-12-18,14886
2024-12-20,14870
2024-12-25,14908
2024-12-29,14963
2025-01-02,14921
2025-01-05,14925
2025-01-09,15065
2025-01-11,14953
2025-01-17,15106
2025-01-19,15071
2025-01-22,15162
2025-01-27,15082
2025-01-29,15121
2025-02-03,15100
2025-02-08,14940
2025-02-10,14969
2025-02-16,14862
2025-02-18,14749
2025-02-21,14874
2025-02-27,14846
2025-03-02,14941
2025-03-04,14942
2025-03-10,14911
2025-03-12,14936
2025-03-16,14901
2025-03-19,14932
2025-03-22,14897
2025-03-27,14967
2025-04-01,14944
2025-04-04,14877
2025-04-09,14880
2025-04-10,14837
2025-04-16,14827
2025-04-17,14747
2025-04-24,14758
2025-04-26,14699
2025-04-28,14733
2025-05-04,14620
2025-05-06,14690
2025-05-10,14674
