date,price(SGD)
2024-05-11,8097
2024-05-12,8098
2024-05-17,8196
2024-05-21,8180
2024-05-24,8228
2024-05-28,8212
2024-06-01,8224
2024-06-03,8184
2024-06-07,8204
2024-06-11,8082
2024-06-16,8117
2024-06-20,8095
2024-06-21,8111
2024-06-25,8093
2024-07-01,8098
2024-07-05,8034
2024-07-07,8031
2024-07-11,8135
2024-07-15,7983
2024-07-19,7981
2024-07-22,7987
2024-07-26,8035
2024-07-29,7980
2024-08-02,7956
2024-08-06,7989
2024-08-11,7893
2024-08-15,7931
2024-08-18,7914
2024-08-21,7834
2024-08-25,7698
2024-08-30,7780
2024-09-02,7745
2024-09-04,7738
2024-09-09,7635
2024-09-13,7690
2024-09-16,7734
2024-09-20,7684
2024-09-23,7746
2024-09-26,7745
2024-09-29,7634
2024-10-04,7613
2024-10-08,7665
2024-10-11,7600
2024-10-17,7662
2024-10-19,7637
2024-10-21,7619
2024-10-27,7606
2024-10-30,7650
2024-11-03,7644
2024-11-07,7672
2024-11-09,7759
2024-11-13,7742
2024-11-17,7733
2024-11-22,7809
2024-11-24,7777
2024-11-28,7816
2024-12-01,7804
2024-12-05,7857
2024-12-11,7810
2024-12-15,7892
2024-12-19,7892
2024-12-22,7959
2024-12-25,8007
2024-12-30,7992
2025-01-03,8050
2025-01-06,8063
2025-01-09,8109
2025-01-12,8082
2025-01-17,8072
2025-01-20,7929
2025-01-24,7908
2025-01-26,7840
2025-01-31,7895
2025-02-02,7832
2025-02-06,7824
2025-02-11,7733
2025-02-16,7725
2025-02-18,7784
2025-02-21,7665
2025-02-25,7761
2025-03-02,7711
2025-03-06,7681
2025-03-09,7688
2025-03-13,7752
2025-03-15,7720
2025-03-21,7766
2025-03-23,7742
2025-03-28,7729
2025-03-30,7768
2025-04-04,7787
2025-04-07,7696
2025-04-10,7749
2025-04-15,7698
2025-04-17,7774
2025-04-21,7744
2025-04-25,7615
2025-04-28,7577
2025-05-02,7601
2025-05-06,7519
2025-05-10,7477
