date,price(SGD)
2024-05-11,3820
2024-05-14,3818
2024-05-17,3835
2024-05-22,3818
2024-05-23,3840
2024-05-27,3808
2024-06-02,3810
2024-06-03,3790
2024-06-08,3744
2024-06-12,3713
2024-06-14,3750
2024-06-19,3764
2024-06-23,3733
2024-06-27,3746
2024-06-30,3733
2024-07-04,3756
2024-07-07,3749
2024-07-10,3773
2024-07-13,3783
2024-07-18,3725
2024-07-23,3735
2024-07-25,3777
2024-07-30,3794
2024-08-04,3787
2024-08-07,3831
2024-08-11,3785
2024-08-15,3786
2024-08-16,3752
2024-08-21,3711
2024-08-24,3671
2024-08-27,3668
2024-09-02,3611
2024-09-04,3633
2024-09-09,3574
2024-09-13,3625
2024-09-17,3590
2024-09-20,3627
2024-09-24,3614
2024-09-27,3569
2024-09-29,3577
2024-10-03,3521
2024-10-07,3540
2024-10-10,3589
2024-10-15,3549
2024-10-18,3609
2024-10-24,3644
2024-10-28,3613
2024-11-01,3674
2024-11-02,3661
2024-11-08,3611
2024-11-11,3624
2024-11-15,3612
2024-11-19,3621
2024-11-23,3579
2024-11-26,3586
2024-11-30,3622
2024-12-01,3588
2024-12-08,3521
2024-12-09,3514
2024-12-13,3519
2024-12-16,3522
2024-12-21,3489
2024-12-25,3533
2024-12-27,3501
2025-01-03,3510
2025-01-04,3511
2025-01-09,3627
2025-01-12,3642
2025-01-17,3587
2025-01-21,3648
2025-01-23,3668
2025-01-26,3589
2025-02-01,3603
2025-02-03,3529
2025-02-07,3525
2025-02-10,3485
2025-02-15,3501
2025-02-18,3491
2025-02-22,3423
2025-02-26,3402
2025-02-28,3427
2025-03-07,3438
2025-03-09,3448
2025-03-12,3491
2025-03-17,3453
2025-03-21,3488
2025-03-22,3505
2025-03-26,3469
2025-04-01,3471
2025-04-05,3409
2025-04-08,3414
2025-04-11,3383
2025-04-14,3387
2025-04-18,3347
2025-04-24,3354
2025-04-26,3330
2025-05-01,3284
2025-05-02,3287
2025-05-07,3277
2025-05-10,3243
